ionIdx,ionMz,Primary Name,001 / NH24 1037 HF F,002 / NH24 1037 HF F,003 / NH24 1424 CD F,004 / NH24 1424 CD F,005 / NH24 1560 HF F,006 / NH24 1560 HF F,007 / H1 1560 HF F,008 / H1 1560 HF F,009 / NH24 1707 HF F,010 / NH24 1707 HF F,011 / H2 1424 CD F,012 / H2 1424 CD F,013 / H2 1715 HF F,014 / H2 1715 HF F,015 / NH24 1189 CD F,016 / NH24 1189 CD F,017 / Hot 1715 HF F,018 / Hot 1715 HF F,019 / H2 1189 CD F,020 / H2 1189 CD F,021 / H1 1707 HF F,022 / H1 1707 HF F,023 / Hot 1189 CD F,024 / Hot 1189 CD F,025 / H2 1710 CD F,026 / H2 1710 CD F,027 / H2 1818 CD F,028 / H2 1818 CD F,029 / H2 1707 HF F,030 / H2 1707 HF F,031 / H1 1710 CD F,032 / H1 1710 CD F,033 / H2 1721 HF F,034 / H2 1721 HF F,035 / Hot 1725 CD F,036 / Hot 1725 CD F,037 / H24 1710 CD F,038 / H24 1710 CD F,039 / NH24 1425 CD F,040 / NH24 1425 CD F,041 / H1 1721 HF F,042 / H1 1721 HF F,043 / H2 1425 CD F,044 / H2 1425 CD F,045 / H24 1715 HF F,046 / H24 1715 HF F,047 / H24 1189 CD F,048 / H24 1189 CD F,049 / Hot 1037 HF F,050 / Hot 1037 HF F,051 / NH24 1710 CD F,052 / NH24 1710 CD F,053 / H24 1424 CD F,054 / H24 1424 CD F,055 / H1 1424 CD F,056 / H1 1424 CD F,057 / H1 1037 HF F,058 / H1 1037 HF F,059 / Hot 1424 CD F,060 / Hot 1424 CD F,061 / NH24 1715 HF F,062 / NH24 1715 HF F,063 / H2 1560 HF F,064 / H2 1560 HF F,065 / H24 1707 HF F,066 / H24 1707 HF F,067 / H24 1818 CD F,068 / H24 1818 CD F,069 / NH24 1365 HF M,070 / NH24 1365 HF M,071 / H24 1725 CD F,072 / H24 1725 CD F,073 / H1 1725 CD F,074 / H1 1725 CD F,075 / Hot 1721 HF F,076 / Hot 1721 HF F,077 / H24 1560 HF F,078 / H24 1560 HF F,079 / Hot 1707 HF F,080 / Hot 1707 HF F,081 / Hot 1365 HF M,082 / Hot 1365 HF M,083 / H1 1425 CD F,084 / H1 1425 CD F,085 / Hot 1710 CD F,086 / Hot 1710 CD F,087 / H1 1365 HF M,088 / H1 1365 HF M,089 / H24 1425 CD F,090 / H24 1425 CD F,091 / H24 1037 HF F,092 / H24 1037 HF F,093 / NH24 1721 HF F,094 / NH24 1721 HF F,095 / NH24 1818 CD F,096 / NH24 1818 CD F,097 / H2 1365 HF M,098 / H2 1365 HF M,099 / H24 1721 HF F,100 / H24 1721 HF F,101 / H2 1725 CD F,102 / H2 1725 CD F,103 / H1 1189 CD F,104 / H1 1189 CD F,105 / Hot 1818 CD F,106 / Hot 1818 CD F,107 / H24 1365 HF M,108 / H24 1365 HF M,109 / H2 1037 HF F,110 / H2 1037 HF F,111 / NH24 1725 CD F,112 / NH24 1725 CD F,113 / H1 1818 CD F,114 / H1 1818 CD F,115 / H1 1715 HF F,116 / H1 1715 HF F,117 / H1 836 HF F,118 / H1 836 HF F,119 / NH24 1474 HF F,120 / NH24 1474 HF F,121 / H24 1227 CD F,122 / H24 1227 CD F,123 / H1 2495 CD F,124 / H1 2495 CD F,125 / H2 2494 CD F,126 / H2 2494 CD F,127 / H1 1414 CD F,128 / H1 1414 CD F,129 / NH24 1772 HF F,130 / NH24 1772 HF F,131 / H24 1772 HF F,132 / H24 1772 HF F,133 / H2 1772 HF F,134 / H2 1772 HF F,135 / H24 1474 HF F,136 / H24 1474 HF F,137 / H2 836 HF F,138 / H2 836 HF F,139 / H1 2494 CD F,140 / H1 2494 CD F,141 / H2 1414 CD F,142 / H2 1414 CD F,143 / H24 833 HF F,144 / H24 833 HF F,145 / H24 836 HF F,146 / H24 836 HF F,147 / H24 1872  CD F,148 / H24 1872  CD F,149 / H2 1417 CD F,150 / H2 1417 CD F,151 / H2 1227 CD F,152 / H2 1227 CD F,153 / NH24 1414 CD F,154 / NH24 1414 CD F,155 / H24 2495 CD F,156 / H24 2495 CD F,157 / NH24 836 HF F,158 / NH24 836 HF F,159 / NH24 1872 CD F,160 / NH24 1872 CD F,161 / H2 1474 HF F,162 / H2 1474 HF F,163 / H24 1414 CD F,164 / H24 1414 CD F,165 / NH24 2494 CD F,166 / NH24 2494 CD F,167 / H2 2495  CD F,168 / H2 2495  CD F,169 / H1 2259 HF F,170 / H1 2259 HF F,171 / NH24 2495 CD F,172 / NH24 2495 CD F,173 / H24 2259 HF F,174 / H24 2259 HF F,175 / H1 1417 CD F,176 / H1 1417 CD F,177 / H24 2494 CD F,178 / H24 2494 CD F,179 / H2 1872  CD F,180 / H2 1872  CD F,181 / H24 1416 HF F,182 / H24 1416 HF F,183 / H1 1772 HF F,184 / H1 1772 HF F,185 / NH24 833 HF F,186 / NH24 833 HF F,187 / H2 1416 HF F,188 / H2 1416 HF F,189 / H1 833 HF F,190 / H1 833 HF F,191 / H1 1474 HF F,192 / H1 1474 HF F,193 / H24 1417 CD F,194 / H24 1417 CD F,195 / H1 1872 CD F,196 / H1 1872 CD F,197 / H2 833 HF F,198 / H2 833 HF F,199 / NH24 1227 CD F,200 / NH24 1227 CD F,201 / NH24 1417 CD F,202 / NH24 1417 CD F,203 / H2 2259 HF F,204 / H2 2259 HF F,205 / NH24 1416 HF F,206 / NH24 1416 HF F,207 / H1 1227 CD F,208 / H1 1227 CD F,209 / H1 1416 HF F,210 / H1 1416 HF F
52,152.002,3-Sulfinato-L-alaninate,12994,12934,16711,15163,9718,8345,4688,5828,9650,9777,23767,23566,24098,23442,19259,19208,17841,18876,19370,20518,6272,5414,22267,22050,15507,13252,24577,25944,11644,11612,6755,6622,12103,11344,10930,11785,15032,16057,20822,21944,7264,6425,23738,22354,24024,23446,22671,21049,12159,10312,17247,15320,21013,20904,10571,10397,5568,6847,12955,12465,11704,12645,32247,30683,10445,11918,21638,21716,17200,17157,18857,18259,7068,7567,6485,7402,23329,23579,14722,11738,11837,10946,6873,7115,8278,8496,7381,6466,15985,14502,16233,15404,18674,19918,13547,15304,17104,17209,10943,13870,14193,14231,10173,10619,24767,25341,16198,15279,10969,11658,12791,12414,15398,16757,7394,7139,3820,4615,8626,8233,8709,8968,6184,5929,12607,12371,6780,6938,11928,12037,13634,13629,10743,8948,12761,12902,11619,12003,7364,6459,12921,11225,12859,14585,9989,11753,11229,11910,14312,13881,13912,15415,13584,15015,12101,12195,18537,19875,13869,11727,9686,10234,12462,13004,13211,12673,10204,9307,6685,6549,8415,7179,20233,17936,8456,8840,14110,12522,12245,10437,11982,11325,4709,5171,20961,19360,12102,12018,8003,6460,5139,6161,12679,11499,13390,11178,17314,18781,13790,11807,15273,14054,14432,14797,22725,23044,8211,7312,4311,4130
53,153.0186,Gentisic acid,8418,8184,9936,8836,10240,10398,8503,9097,7731,7299,14117,13189,12500,12839,20795,18587,5761,6329,24670,23416,9952,10470,21641,22061,19184,19953,17042,19459,9664,9226,11442,13377,10564,11049,9015,9013,17453,20044,16177,16920,10649,11556,16074,17560,12123,12189,20594,23106,5756,5519,17762,16803,14016,15059,10457,12859,8913,11510,6399,6850,12475,12757,8974,8904,9492,10337,19082,18775,8612,11523,9808,10785,10130,10210,11021,10338,9399,10512,12001,11729,5304,5782,10211,11088,7749,7995,7913,9716,14540,14606,11065,12330,10319,12867,11252,12388,9853,12093,10429,10117,9965,10838,11476,13853,15583,15468,10554,10430,9422,10767,9971,11481,11164,11227,8315,8222,9677,10095,8865,9482,10271,10086,9839,10963,11416,13203,10620,9336,7536,7725,13659,11873,8921,8657,10918,12269,9371,10583,11094,13874,9999,8998,14447,14738,14508,13817,21481,23444,14634,13189,17744,16798,7427,8811,10761,12692,15992,17850,17893,15513,11448,11551,9607,9335,9433,8354,9650,9823,9349,8183,7225,6566,11226,9953,12399,12789,7293,8577,13702,15027,12699,11232,9289,10428,17315,17764,10925,11237,10856,12530,13070,15516,15085,14182,15902,16114,18177,17981,14856,13337,13877,12487,10078,11002,13888,14500,11062,11918,9460,9948
54,154.062,L-Histidine,383661,347619,398811,350433,423731,407993,211532,193884,307015,284410,701978,706800,1209266,1201750,529922,506633,398593,417799,731714,710659,305088,273609,587328,566233,849993,820189,1040946,1022053,422806,394459,328377,333643,583801,566714,298719,296545,875002,862462,768975,800172,271291,256160,841981,813703,1315103,1288782,700359,701033,220920,217106,692532,619273,882615,886384,409923,407971,357728,373909,185657,188308,828430,806718,423702,423728,622326,624274,1087858,1056608,821505,866990,523293,517188,211174,208058,262436,260308,480517,474818,496050,498471,361549,375340,359791,348302,288096,289593,425576,427771,830231,823843,882977,881699,756226,837618,657233,671545,1022831,1035387,590141,602048,420193,410288,300026,299287,507744,509453,1095585,1109556,724617,710473,296798,319411,396163,411249,571338,589992,399649,404704,556325,578934,549975,524411,424935,434163,945512,963039,427678,433145,413122,431307,475627,466834,474695,468673,924233,906230,640269,630270,430325,434646,511508,467256,780639,793020,701153,710496,926800,927159,560493,556880,835930,844934,595709,631949,828812,841170,1086787,1112662,692652,680447,879090,846591,955631,968943,487795,470647,768578,755262,300435,291686,296578,291715,636184,636686,332920,328804,235289,237932,683765,667578,1249927,1264914,289392,281139,879841,882354,1009871,987275,462822,465197,452351,448861,665092,656714,434188,441114,1059245,1072478,533181,508351,540112,523826,736644,733528,948640,932674,342234,338472,460378,473227
55,154.975,Phosphoglycolic acid,4943,4665,13813,11324,25545,25104,13221,13746,3904,3455,37237,39861,41640,42292,5964,6019,7275,7516,64046,59578,11811,12523,54363,52798,38272,36715,32410,32652,16074,15048,15259,15431,26337,26711,15634,13434,40799,38198,10587,10754,10993,10571,35250,36319,32906,32521,58100,55884,7032,7244,7866,6472,46456,44742,20641,20616,17414,19210,5433,6453,11322,9639,33950,34902,22299,22734,33030,29464,4710,5137,29316,29434,12749,12229,13202,13153,41255,38997,37645,40743,7057,6072,11715,12501,7919,8874,12970,12770,32919,32096,45289,47681,29572,31418,4681,4233,31560,30377,25595,26307,23006,22859,19491,22283,18726,18098,38902,38846,32560,33839,7032,7585,10928,11242,10924,12349,4894,4932,3859,3604,31800,28025,16299,14665,39694,36585,14347,16021,4655,5509,31637,30275,30453,28674,36470,35196,9647,8573,15387,15614,21468,16966,5655,6391,5602,5673,35919,33412,32467,33542,57885,54560,2715,3597,28578,29138,3695,3934,3665,3733,30264,26905,27409,27668,4692,4437,25875,24241,17469,20064,3726,3669,57465,57290,20448,20818,9163,8414,26123,21209,53117,48614,13677,15953,3022,3363,37193,32489,5283,4137,18786,18765,37883,39058,16481,15093,6783,6505,4305,3436,4255,4470,65312,60261,11123,12181,17127,16830,16222,16076
56,155.0462,4-Imidazolone-5-propionic acid,4800,5299,4998,4505,6711,7114,3990,3555,5200,5868,8548,9138,16486,19380,8606,7890,5492,7621,8775,9340,5501,5122,6885,7321,15995,15932,10259,12599,9024,6514,7543,6855,7440,7423,5968,5014,14908,14540,12992,14371,4304,4050,12277,10922,17872,17347,8617,9929,3172,3742,14801,12113,9823,11515,5141,4810,5603,6674,2729,2740,16812,15514,6370,7176,10204,9591,10899,11066,38195,39122,10095,8291,4427,4528,4094,3837,7865,7103,8908,8546,15718,14429,8022,5677,5565,5696,16413,16563,11440,10792,13377,11902,9989,9494,7671,7875,40797,42503,8695,8779,8291,8237,5574,4698,5435,6408,43320,45968,9719,10192,6061,5368,5536,5044,5805,8136,4054,4886,8149,8681,11519,12797,5913,5581,6242,7696,5423,6315,6001,5878,6565,5862,6554,6376,11982,11679,6159,6340,5099,5382,6063,6486,7167,7734,6575,6852,9856,8692,12581,11535,17617,19697,7322,7619,7693,8408,8555,11135,8045,7083,11851,10947,10253,9200,4801,5327,7002,7474,6221,6564,5464,5092,15175,13249,8348,7757,3384,4557,7964,7353,16577,17049,5101,5028,7539,8185,13886,13044,5486,5469,6889,7461,12416,14418,7318,6141,9882,9588,13495,13429,12781,12133,15183,19185,15235,16390,8772,8137,7082,7118
57,159.1026,4-Hydroxyvalproic acid,5113,5980,5366,6623,6757,6388,23888,25685,4547,5094,8429,8566,6036,6471,6853,5827,3435,4896,7988,6609,8317,6144,7544,8623,7266,8682,6812,5506,4814,5370,8108,8401,9100,9557,5674,4989,7482,7610,5962,6329,8736,8791,7767,7188,7392,7906,6240,7055,5428,4030,7201,6157,8139,9441,9682,9063,5900,6494,4767,4956,5506,6485,31500,35572,5410,6496,6436,6054,5953,5386,9855,10407,10726,8458,7211,7600,37346,37343,9129,9504,4312,4044,7709,7642,5015,5009,6464,6697,6240,6126,6436,6362,3621,4343,4723,4623,6184,7150,9590,9777,8323,9094,9427,8684,8920,7447,5648,5709,6076,6131,8626,8279,11740,13100,6360,7518,4766,5768,3780,5194,6152,6382,8164,7323,7507,6408,8233,8982,4002,3600,6728,7150,5028,5036,5269,5463,6434,5733,9304,8229,6645,5963,5066,5397,6304,6959,4714,5555,5936,6663,6905,7026,4491,5913,6646,6894,6494,6932,5735,5249,5436,6600,7458,5923,9939,9408,7177,6406,6649,6664,4790,5383,6786,7959,9368,10752,5974,6917,4973,6187,17974,18712,11888,13008,6299,5459,24321,23629,6292,5717,6701,6465,7389,5545,9031,8286,5242,4845,8527,8848,6389,7054,7369,7443,12943,11490,9431,9138,13510,13190
58,160.0614,Aminoadipic acid,9609,8926,11191,12846,12964,12401,6849,6956,13847,15675,25021,26845,49287,48294,44681,45626,18760,17377,51552,51229,14442,13946,46818,48521,67559,66440,17166,17051,19006,20402,30995,31825,16916,15581,11238,10149,68890,70847,26882,28717,10372,10743,27801,23899,41144,42077,50949,46143,8963,7869,64923,58485,26251,24347,14374,14171,10842,12133,8930,7732,35406,31845,14706,15214,23536,26334,15966,13824,20957,19707,16871,17246,11106,8387,10461,9572,13981,14026,22645,19329,10540,9003,11600,9871,26475,26786,12800,12798,23942,22749,17982,18287,19791,24238,14630,11971,24300,23012,17578,17848,15258,14634,22427,23796,11867,10088,21791,23075,14534,13734,11415,14480,8669,7946,19460,22496,18653,19138,29391,33065,27750,26036,12229,10587,16036,15941,12044,10789,11950,12605,14456,12834,14129,14461,42423,39314,29982,28422,14198,14119,14806,13727,30207,28736,30321,31841,39088,37662,21847,21870,41322,42886,18662,19650,17643,17299,61388,58015,31324,29296,37651,36627,23529,21540,12493,13016,16908,15207,8755,9235,10127,11403,15525,15363,14049,14562,8826,9802,35768,32946,56013,55305,11497,12160,38634,35815,44849,45193,18928,16970,24099,23119,21197,23975,19087,21121,41437,40045,31673,30730,21843,20357,16292,14708,50155,49838,20969,20590,27613,26356
59,163.0609,L-Fucose,17226,16645,29371,29434,15479,14024,11875,11813,10700,11791,44637,48840,20639,22686,38006,42082,14612,13765,44631,47118,18502,18329,40812,38945,36504,38353,48281,53152,18704,16464,27630,26613,20019,20445,29121,28411,37520,36572,42545,44675,21974,19438,48613,48023,22093,24010,45261,47701,16922,15414,32497,35042,51133,51310,39590,40356,23396,23577,21624,24509,18815,20205,16882,16950,17521,17616,47856,48010,21254,22178,43241,42177,30541,34112,18565,17500,16752,15983,18902,16728,13648,13882,27312,24739,20127,21146,19847,20018,40287,43004,26580,28362,14773,17318,31514,34815,27027,26693,21508,19894,38397,40835,30683,30269,35490,33706,24577,23258,25968,26724,34277,33967,29783,29624,16766,16993,12604,14436,17222,15839,38412,35866,29695,25521,36552,34805,27880,27815,18185,19012,25702,24767,24808,27109,20198,20389,20177,19480,29177,28236,31118,27806,20452,20151,18072,16742,63195,64850,39988,40361,54367,54327,29097,28304,36152,31314,25439,24795,48277,46620,24996,24487,41714,39408,26193,26084,34357,29969,23031,23509,20670,19403,25765,25702,36963,37898,23450,20201,51751,49766,29914,28217,29896,30184,22272,21441,23380,23217,18631,18653,22306,22413,41243,39442,43717,43614,25874,25802,53796,52167,41839,42276,27496,26733,32168,30847,35028,35551,21757,21953
60,164.0714,L-Phenylalanine,174212,175086,172259,156454,143689,145001,119615,114373,113361,116431,238152,244988,244133,240988,186728,198501,111192,119041,244558,238094,113965,102874,185591,193078,236725,233038,217046,215761,139065,139386,141941,142769,158827,159206,115863,113039,232472,245514,247945,255965,118803,112008,247200,248474,252414,258483,229381,242244,88337,93633,215112,210388,266935,283403,164568,166025,144611,155403,78791,81768,182873,181181,178047,182365,159907,161785,211658,202730,195948,213068,150498,152763,94464,94098,99287,98378,192890,189709,155848,153915,108430,110376,135278,132799,101572,98437,131600,132904,212509,216154,241397,236953,164629,176761,145354,151899,215641,220005,147698,153336,129211,125635,128289,127955,141960,148870,219729,224854,215532,202412,108721,112266,114281,109742,131663,134311,684313,710190,170703,170861,219678,219855,158547,158595,242598,243507,118511,115969,132053,136190,131730,129256,131490,131396,214588,217783,820571,844479,285837,265180,120950,111954,978067,997952,1185331,1251094,321179,325629,205314,198877,295900,299482,151196,154276,208475,208223,1504792,1532076,308136,286106,243519,242568,176579,177638,165782,163518,196216,196784,163270,160674,128312,116641,232659,222334,166996,161478,81873,79484,224542,224212,224427,227698,117771,117747,1085111,1083219,256804,237048,631425,620423,222933,208064,222275,210098,202753,204196,1251866,1217970,326179,288031,225826,215360,256007,247156,236351,229642,177899,179800,144250,142805
61,165.0917,Perillic acid,5700,5960,10674,10377,13790,14144,10354,10219,5186,6318,9348,8842,8146,8031,8210,8762,5256,5345,10072,8584,6391,7731,9311,7762,9179,9577,10198,9663,9373,9221,15935,16374,8045,8970,6005,6553,9031,7820,13285,14222,8774,8547,8677,9079,9985,10167,9040,7081,6519,5468,10471,9937,10108,10072,16907,18028,7476,8216,5233,6130,11069,10991,9343,8497,7688,7979,10273,9196,8078,6972,10098,9292,13403,13274,5421,6508,10938,10101,6294,6033,6070,5867,14599,16792,5896,6339,7660,7111,8258,7756,7032,5906,5474,5704,10289,11353,8790,9846,8041,8124,10169,9324,23368,23347,12379,11189,6372,6279,5833,7313,6516,7680,34981,35579,8101,9221,9648,9779,6104,6481,6297,7124,17051,16893,9467,9234,32529,32672,4916,6559,6562,5411,6181,5172,7639,7012,9373,8994,22437,21527,19735,18011,13358,13058,12382,11928,8872,10098,6889,7917,7958,7945,8633,8729,8836,7873,14107,14776,9032,9181,8579,8100,9239,8863,10549,11581,9261,8553,10535,9503,8694,7711,7390,7912,28487,25576,7173,7733,8929,8209,9503,8972,11425,12441,14583,15846,9323,8849,11422,10802,13230,13470,8851,8097,40736,42719,16515,17427,10743,10574,9962,10678,8071,7303,10426,8763,37773,35132,10412,10300
62,166.05,Pyridoxal,9655,10368,10002,9544,11050,10483,6525,7168,5494,5551,22526,22480,26759,26032,11971,12241,6885,6876,12669,12464,6267,6569,12637,13148,11153,10093,21988,20242,14911,13102,6959,6800,13513,12214,7637,9118,11836,14131,12773,13758,7439,6451,23526,23521,9421,11275,15709,13765,5359,5808,9946,10777,13398,14747,8268,7881,6195,5974,6595,6200,10742,11748,14430,14879,10021,10645,14040,11825,9200,9679,13320,13697,7079,7061,7488,7634,11439,10993,7868,7410,5669,6089,6283,6175,5267,6347,5753,5932,12740,12519,14565,14483,13582,14841,11764,10511,14909,15084,10598,10212,10941,11053,7106,7030,10426,11133,11595,10810,9996,9501,12972,13349,7005,6759,4922,4791,9834,10256,7315,9869,16396,15963,7229,7565,15986,14231,7115,9106,7618,8478,11095,11334,11923,11334,13835,15237,17892,19643,9963,9483,8270,8434,24887,24595,18587,20255,15005,14463,17431,18325,18660,18800,10551,12109,16961,17077,25665,27378,12208,12676,10906,10358,12342,11943,12796,12206,12443,12676,6968,7621,8619,9692,17366,17924,9887,10432,9917,10375,21179,20540,12274,13909,7296,7851,32216,31913,16770,15203,14295,14642,8166,8019,16193,15641,9266,6952,33238,34327,19135,17023,14668,15497,14346,13165,18527,18182,8262,9073,6972,7058
63,166.9753,Phosphoenolpyruvic acid,4272,4323,4720,4871,5656,5952,3561,2538,5470,5474,5569,5340,4448,3939,5571,6176,2479,1391,4049,4012,2235,2563,4958,4532,5298,4476,4498,4601,2989,3365,3388,2915,3545,3798,3271,2900,3806,4689,6141,7854,2911,2615,3988,3521,4039,4202,3281,3583,2117,2513,6290,5850,5312,6197,3885,4643,3396,3207,1956,2029,8630,8633,3040,3363,3102,3441,4741,4047,9896,11058,4738,4161,3358,3051,2899,3459,2886,3192,4315,5102,2107,1882,2943,2474,1589,2167,2435,2754,3399,3524,4799,4480,5422,5021,4788,4264,3895,4134,3489,3733,2845,3157,2509,2887,8900,8693,3855,3823,3533,3297,4637,5608,2995,2429,2093,2261,3552,4133,4295,3843,3158,2966,3554,2696,4155,5022,3028,2750,4250,5331,2263,2212,2223,2245,3292,3299,5082,5020,4551,4288,2105,2631,11630,10543,6932,6133,4771,4141,4020,4182,3502,3431,4921,5062,3866,3701,8853,9982,3907,4246,2886,3440,2938,4063,5395,4703,3502,3256,2671,2947,3430,3072,3194,3683,3196,3328,2327,1861,3225,3091,2353,2877,2997,3203,10341,11539,3374,2407,5390,5138,3332,3137,5101,4694,3915,3065,11554,11442,4595,4146,7434,6466,2799,3636,8443,8011,3790,3165,2191,2828
64,167.0209,Uric acid,141637,142132,230045,224861,96957,94578,103357,105109,95831,98706,649165,666460,437232,432881,78678,73853,102859,112371,235779,228393,126707,125749,321732,326145,364305,359459,529484,516072,276814,261597,202269,196950,307393,296824,141060,139558,263515,262604,126305,130220,115304,111691,470178,470189,257885,264823,91582,92559,162328,158685,86916,82142,581334,629222,293249,292943,279536,287459,142717,140907,90341,81897,263757,267473,210868,204555,387094,358757,124210,134355,171647,174509,146672,150407,170695,171109,84935,87103,267672,259691,237222,223219,169480,164650,152558,146664,230583,229436,290891,306080,432773,424844,193864,200323,56935,56851,543575,565306,146603,149674,191998,189415,136455,130768,267795,263531,502586,513909,456414,452250,77566,76576,165527,164936,117225,122198,314579,322698,64662,66116,23697,22979,159612,165008,359685,345027,134938,140590,71011,68464,220752,225556,305188,298418,132826,130745,469062,450020,230444,222632,168832,155559,173585,177815,495420,520167,490259,496420,415211,408140,533163,529757,42198,41311,290074,297054,538902,539108,73850,68939,231631,224535,233381,232187,81516,79400,301644,277478,142456,150709,38851,35053,316407,303920,193860,196704,67261,63628,525276,514396,330197,334902,161328,159203,105144,100464,344247,337924,99821,94370,208591,213749,390685,375878,306379,307248,249114,252609,43416,38561,76366,75935,340976,347738,81905,78325,204225,205117,152529,146981
65,167.0824,Pyridoxamine,3253,3743,5248,5206,5312,5174,4607,4975,4201,3591,7249,8869,6441,6346,5413,6009,3062,2993,6522,6394,4918,4726,6181,5011,6734,7092,7811,6794,6512,5751,7036,6615,6862,6898,3607,5164,6402,7326,6899,8035,4598,5042,6826,6343,4732,5082,6347,6766,3665,3481,6102,7601,7851,8691,7179,7442,4938,5129,3479,3852,5305,5159,5687,5718,6033,5874,7383,6437,5746,6825,6334,6031,5655,5645,4235,3882,5378,5836,5158,4197,3565,3161,6065,5277,5007,4224,4662,4840,6559,6165,7253,6203,6328,9103,5966,5529,8635,7844,6690,6857,5990,6285,7033,7416,5656,5826,5357,6824,6652,6750,4843,5791,7898,7812,5300,5086,4304,3625,4373,5974,9906,10902,7002,7166,7322,5836,8016,7960,4127,5012,5795,6005,5587,6448,6692,7000,6292,6714,7896,5473,6665,6924,5103,6155,6390,6295,7595,6854,7745,7497,7795,9172,6745,5879,6569,6821,8716,9483,7979,7101,7586,6833,8172,7418,6343,5962,6959,6128,5479,5389,6301,5213,7797,7362,9613,10733,6240,6431,7150,7572,6661,8162,6294,6489,6682,8052,8922,7480,6135,4589,7880,6533,7472,7701,10280,10804,7177,7469,7228,6547,8369,7950,6274,7077,7846,7342,9334,9749,6479,5620
66,168.0777,3-Methylhistidine,6797,5914,5565,6202,5029,5082,3298,3577,4840,5081,11341,10031,10947,10093,6703,8343,4979,5510,10775,10152,4339,4644,9707,9451,12229,11596,11250,12168,7236,5952,6179,6717,9035,8706,5660,5744,12171,11964,8063,8834,5581,4912,10862,9991,9402,9654,10064,10383,5037,5301,8476,8195,12847,10704,7100,7495,7038,7008,3632,3983,8055,7199,6613,6218,7944,7536,10802,11648,12556,12939,8280,8644,5108,4643,5802,5292,6041,6194,7650,6922,7451,7245,7117,5518,5210,5514,8146,8170,10053,11406,15056,16629,8676,9833,7942,7124,15936,14943,9260,10053,6945,7651,6516,6019,7479,7731,18053,17826,12647,12306,5029,6416,6942,8629,4609,4804,5956,6116,5454,6056,10792,12869,9232,7452,12175,14905,9459,9168,8465,9424,11995,11769,11976,12359,13400,13391,12455,11383,8719,10173,8429,7368,11136,12737,10297,11173,8825,9468,11236,13795,13127,15368,7676,7318,13876,14374,16582,16878,8561,8221,11568,11191,11244,12829,8760,7396,11242,10086,6438,5812,6069,6856,12307,11161,10581,10146,4157,5339,7554,6724,8460,10201,7790,8245,13995,12980,7460,8503,6570,6927,6997,7369,14992,13665,6236,9124,15715,14860,10573,9714,10476,11532,12243,13019,9670,10782,8922,9577,4269,4362
67,169.0495,"3,4-Dihydroxyphenylglycol",4293,3689,6569,6799,7754,8865,8863,8466,19860,22295,10189,9427,11095,8713,10395,8414,5024,5881,10987,10136,7705,5574,13832,14070,10279,10525,8306,9211,6850,7409,7785,8697,7073,6545,6186,4911,9719,9658,8641,8325,5647,5886,10835,10704,8106,8376,8667,8336,4597,4325,13701,14250,10862,9215,7918,8520,5419,6225,4293,5778,7665,6439,10869,12572,7691,8429,9432,7842,21044,21388,9208,9238,6849,5372,6289,5805,11846,13835,8955,8786,4538,5823,7607,7009,4818,5584,6264,7645,7329,7916,8121,8307,7510,6517,5857,6187,11145,9320,7551,7423,8567,9049,8624,9256,13763,13235,9872,9097,5840,6177,7519,6886,7604,8395,6251,7141,4387,3896,4916,6990,6482,7846,6444,6488,8845,8207,7669,7973,4805,5721,6041,5751,6307,5620,7113,6553,5221,5014,7488,7960,14688,13943,4609,6762,5849,5945,10450,9482,6011,4317,8002,9436,6729,6315,7535,6463,8373,7843,9034,8028,8137,5798,8009,8076,8693,8578,6010,6397,5777,6872,6932,6029,9091,8361,6442,7121,5799,5894,8156,7313,10073,10676,6716,6159,6916,6302,11176,7862,5566,5037,7014,7233,5192,6239,9991,9871,7174,7621,9781,9398,6868,7201,9462,8642,14622,14751,10247,9346,6704,7836
68,171.0062,Glycerol 3-phosphate,459262,454205,543614,509038,675588,680637,354576,344990,413277,402105,1044084,1084696,789252,777408,651584,653414,234567,220782,828899,791858,388315,364749,874948,857378,942439,944538,800785,777898,546889,523864,435776,442547,578642,566122,365299,366245,919658,916900,1172648,1199706,347369,311755,1096247,1053379,694743,694788,756083,717930,205833,209343,816852,734795,1108445,1132407,469777,454981,371049,396137,247013,251334,393731,377785,662446,679068,694946,717058,812123,715854,662345,706075,592098,578994,254584,254130,325125,323472,731540,731385,713834,709060,268956,273610,459679,434947,321044,320689,421847,414227,982665,977941,906944,886931,807177,814585,411503,403931,923843,931441,566290,573121,519320,504297,349826,352517,488057,486673,955783,979094,698216,660551,298166,306425,311791,324425,300020,311797,50658,46969,396422,379695,535244,489981,480285,482137,985476,932986,451463,456352,366415,365317,427936,414917,451471,448852,791562,762450,194209,162737,364711,369018,654705,616192,93386,98216,67233,72146,832281,832811,1027139,965428,824106,815355,488984,485507,904245,912977,106841,101573,323367,297292,658272,643768,1028711,1015328,493437,449232,863221,804644,343921,342722,415438,346292,757359,737876,502774,506341,380280,360927,648243,617367,876978,857775,243916,244500,3123205,2913028,723704,696652,96082,77740,423275,407186,1188790,1125605,440573,439448,123006,121412,326872,331225,523847,498685,848631,824755,580391,571466,334646,341591,356613,358093
