ionIdx,ionMz,,ionActive,ionQualTIC,ionAverageInt,mz difference,formula,ion,score,name,synonym,hmdb_id,kegg_id,other_ids
9,88.0403646,88.0404,TRUE,0.651706219,23435.86702,3.25021E-05,C3H7NO2,-H(-),100,L-Alanine,(2S)-2-Aminopropanoate; (2S)-2-Aminopropanoic acid; (S)-(+)-Alanine; (S)-2-Aminopropanoate; (S)-2-Aminopropanoic acid; (S)-2-amino-Propanoate; (S)-2-amino-Propanoic acid; (S)-Alanine; 2-Aminopropanoate; 2-Aminopropanoic acid; 2-Aminopropionate; 2-Aminopropionic acid; 2-Ammoniopropanoate; 2-Ammoniopropanoic acid; Ala; Alanine; L-(+)-Alanine; L-2-Aminopropanoate; L-2-Aminopropanoic acid; L-2-Aminopropionate; L-2-Aminopropionic acid; L-a-Alanine; L-a-Aminopropionate; L-a-Aminopropionic acid; L-alpha-Alanine; L-alpha-Aminopropionate; L-alpha-Aminopropionic acid; a-Alanine; a-Aminopropionate; a-Aminopropionic acid; alpha-Alanine; alpha-Aminopropanoate; alpha-Aminopropanoic acid; alpha-Aminopropionate; alpha-Aminopropionic acid,HMDB00161,C00041,
9,88.0403646,88.0404,TRUE,0.651706219,23435.86702,3.25021E-05,C3H7NO2,-H(-),100,Sarcosine,(Methylamino)acetate; (Methylamino)acetic acid; (Methylamino)ethanoate; (Methylamino)ethanoic acid; (methylamino)-Acetate; (methylamino)-Acetic acid; Methylglycine; N-Methyl-Glycine; N-Methylaminoacetate; N-Methylaminoacetic acid; N-Methylglycine; Sarcosin; Sarcosinate; Sarcosine; Sarcosinic acid,HMDB00271,C00213,
10,89.02437369,89.0244,TRUE,0.660529316,194705.2832,3.97113E-05,C3H6O3,-H(-),100,L-Lactic acid,(+)-Lactate; (+)-Lactic acid; (S)-(+)-2-Hydroxypropanoate; (S)-(+)-2-Hydroxypropanoic acid; (S)-2-Hydroxypropanoate; (S)-2-Hydroxypropanoic acid; (S)-2-Hydroxypropionate; (S)-2-Hydroxypropionic acid; (S)-2-hydroxy-Propanoate; (S)-2-hydroxy-Propanoic acid; (S)-Lactate; (S)-Lactic acid; (alpha)-Lactate; (alpha)-Lactic acid; 1-Hydroxyethane 1-carboxylate; 1-Hydroxyethane 1-carboxylic acid; 1-Hydroxyethanecarboxylate; 1-Hydroxyethanecarboxylic acid; 2-Hydroxypropanoate; 2-Hydroxypropanoic acid; 2-Hydroxypropionate; L-(+)- Lactic acid; L-2-Hydroxypropanoate; L-2-Hydroxypropanoic acid; Lactate; Lactic acid; Milk acid; Sarcolactic acid; a-Hydroxypropanoate; a-Hydroxypropanoic acid; a-Hydroxypropionate; a-Hydroxypropionic acid; alpha-Hydroxypropanoate; alpha-Hydroxypropanoic acid; alpha-Hydroxypropionate; alpha-Hydroxypropionic acid,HMDB00190,C00186,
10,89.02437369,89.0244,TRUE,0.660529316,194705.2832,3.97113E-05,C3H6O3,-H(-),100,Hydroxypropionic acid,2-Deoxyglycerate; 2-Deoxyglyceric acid; 3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Ethylenelactate; Ethylenelactic acid; Hydracrylic acid; Hydroxypropionate; b-Hydroxypropionate; b-Hydroxypropionic acid; b-Lactate; b-Lactic acid; beta-Hydroxypropionate; beta-Hydroxypropionic acid; beta-Lactate; beta-Lactic acid,HMDB00700,C01013,
10,89.02437369,89.0244,TRUE,0.660529316,194705.2832,3.97113E-05,C3H6O3,-H(-),100,D-Lactic acid,(-)-Lactate; (-)-Lactic acid; (R)-(-)-Lactate; (R)-(-)-Lactic acid; (R)-2-Hydroxypropanoate; (R)-2-Hydroxypropanoic acid; (R)-2-Hydroxypropionate; (R)-2-Hydroxypropionic acid; (R)-Lactate; (R)-Lactic acid; (R)-a-Hydroxypropionate; (R)-a-Hydroxypropionic acid; (R)-alpha-Hydroxypropionate; (R)-alpha-Hydroxypropionic acid; D-(-)-Lactate; D-(-)-Lactic acid; D-2-Hydroxypropanoate; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionate; D-2-Hydroxypropionic acid; D-Lactate; D-Lactic acid; DLA; L-(+)-Lactate; L-Lactic acid; Propel; Tisulac; delta-(-)-Lactate; delta-(-)-Lactic acid; delta-2-Hydroxypropanoate; delta-2-Hydroxypropanoic acid; delta-2-Hydroxypropionate; delta-2-Hydroxypropionic acid; delta-Lactate; delta-Lactic acid,HMDB01311,C00256,
10,89.02437369,89.0244,TRUE,0.660529316,194705.2832,3.97113E-05,C3H6O3,-H(-),100,Dihydroxyacetone,"1,3-Dihydroxy-2-propanone; 1,3-Dihydroxyacetone; 1,3-Dihydroxydimethyl ketone; 1,3-Dihydroxypropan-2-one; 1,3-Dihydroxypropanone; Aliphatic ketone; Bis(hydroxymethyl) ketone; Chromelin; Dihydroxy-acetone; Dihydroxyacetone; Dihyxal; Glycerone; Ketochromin; Otan; Oxantin; Oxatone; Protosol; Soleal; Triulose; Viticolor; a,a'-Dihydroxyacetone",HMDB01882,C00184,
11,102.0560272,102.056,TRUE,0.886686027,89237.06258,1.90768E-05,C4H9NO2,-H(-),100,Dimethylglycine,"(Dimethylamino)acetate; (Dimethylamino)acetic acid; 2-(Dimethylamino)acetate; 2-(Dimethylamino)acetic acid; Dimethylglycine; N,N-Dimethylaminoacetate; N,N-Dimethylaminoacetic acid; N,N-Dimethylglycine; N-Methylsarcosine N,N-dimethyl-Glycine",HMDB00092,C01026,
11,102.0560272,102.056,TRUE,0.886686027,89237.06258,1.90768E-05,C4H9NO2,-H(-),100,Gamma-Aminobutyric acid,3-Carboxypropylamine; 4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; Aminalon; GABA; Gaballon; Gamarex; Gammalon; Gammalone; Gammar; Gammasol; Mielogen; Mielomade; Omega-Aminobutyrate; Omega-Aminobutyric acid; Piperidate; Piperidic acid; Piperidinate; Piperidinic acid; gamma Aminobutyrate; gamma Aminobutyric acid; gamma-Aminobutyrate; gamma-Aminobutyric acid; w-Aminobutyrate; w-Aminobutyric acid,HMDB00112,C00334,
11,102.0560272,102.056,TRUE,0.886686027,89237.06258,1.90768E-05,C4H9NO2,-H(-),100,L-Alpha-aminobutyric acid,(+)-2-Aminobutanoate; (+)-2-Aminobutanoic acid; (+)-2-Aminobutyric acid; (+)-alpha-Aminobutyric acid; (-)-2-Aminobutyric acid; (2S)-2-aminobutanoate; (2S)-2-aminobutanoic acid; (S)-(+)-alpha-Aminobutyric acid; (S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid; (S)-2-amino-Butanoate; (S)-2-amino-Butanoic acid; 2-Aminobutanoate; 2-Aminobutanoic acid; 2-Aminobutyrate; 2S-Amino-butanoate; 2S-Amino-butanoic acid; L-(+)-2-Aminobutyric acid; L-2-Amino-N-butyric acid; L-2-Aminobuttersaeure; L-2-Aminobutyric acid; L-Butyrine; L-Ethylglycine; L-a-Aminobutyric acid; L-alpha-Amino-N-butyric acid; L-alpha-Aminobutyrate; L-alpha-Aminobutyric acid; S-Butyrine; alpha-Aminobutyric acid,HMDB00452,C02356,
11,102.0560272,102.056,TRUE,0.886686027,89237.06258,1.90768E-05,C4H9NO2,-H(-),100,(S)-b-aminoisobutyric acid,(+)-a-Methyl-b-alanine; (+)-alpha-Methyl-beta-alanine; (+)-b-Aminoisobutyric acid; (+)-beta-Aminoisobutyric acid; (S)-3-Amino-2-methylpropanoate; (S)-3-Amino-2-methylpropanoic acid; (S)-3-Amino-isobutanoate; (S)-3-Amino-isobutanoic acid; (S)-3-Amino-isobutyrate; (S)-3-Amino-isobutyric acid; (S)-3-amino-2-methyl-Propanoate; (S)-3-amino-2-methyl-Propanoic acid; (S)-b-Aminoisobutyric acid; (S)-beta-Aminoisobutyric acid; L-2-Methyl-b-Alanine; L-2-Methyl-beta-Alanine; L-3-Amino-2-methylpropanoate; L-3-Amino-2-methylpropanoic acid; L-3-Amino-2-methylpropionic acid; L-3-Amino-isobutanoate; L-3-Amino-isobutanoic acid; L-3-Amino-isobutyrate; L-3-Amino-isobutyric acid; L-b-Aminoisobutyrate; L-b-Aminoisobutyric acid; L-beta-Aminoisobutyrate; L-beta-Aminoisobutyric acid; S-b-Aminoisobutyrate; S-beta-Aminoisobutyrate; S-beta-Aminoisobutyric acid,HMDB02166,C03284,
11,102.0560272,102.056,TRUE,0.886686027,89237.06258,1.90768E-05,C4H9NO2,-H(-),100,(R)-b-aminoisobutyric acid,(-)-b-Aminoisobutyrate; (-)-b-Aminoisobutyric acid; (-)-beta-Aminoisobutyrate; (-)-beta-Aminoisobutyric acid; (2R)-3-amino-2-methyl-Propanoate; (2R)-3-amino-2-methyl-Propanoic acid; (R)-3-Amino-2-methylpropanoate; (R)-3-Amino-2-methylpropanoic acid; (R)-3-amino-2-methyl-Propanoate; (R)-3-amino-2-methyl-Propanoic acid; D-2-Methyl-b-Alanine; D-3-Amino-2-methylpropanoate; D-3-Amino-2-methylpropanoic acid; D-3-Amino-2-methylpropionate; D-3-Amino-2-methylpropionic acid; D-b-Aminoisobutyrate; D-b-Aminoisobutyric acid; R-b-Aminoisobutyrate; R-beta-Aminoisobutyrate; delta-2-Methyl-beta-Alanine; delta-3-Amino-2-methylpropanoate; delta-3-Amino-2-methylpropanoic acid; delta-3-Amino-2-methylpropionate; delta-3-Amino-2-methylpropionic acid; delta-beta-Aminoisobutyrate; delta-beta-Aminoisobutyric acid,HMDB02299,C01205,
12,103.0401784,103.0402,TRUE,0.657365263,34190.94207,-0.000115808,C4H8O3,-H(-),100,2-Hydroxybutyric acid,(RS)-2-Hydroxybutyrate; (RS)-2-Hydroxybutyric acid; 2-Hydroxy-Butanoate; 2-Hydroxy-Butanoic acid; 2-Hydroxy-DL-Butyrate; 2-Hydroxy-DL-Butyric acid; 2-Hydroxy-N-butyrate; 2-Hydroxy-N-butyric acid; 2-Hydroxybutanoate; 2-Hydroxybutanoic acid; 2-Hydroxybutyrate; DL-2-Hydroxybutanoate; DL-2-Hydroxybutanoic acid; DL-a-Hydroxybutyrate; DL-a-Hydroxybutyric acid; DL-alpha-Hydroxybutyrate; DL-alpha-Hydroxybutyric acid; a-Hydroxy-N-butyrate; a-Hydroxy-N-butyric acid; a-Hydroxybutanoate; a-Hydroxybutanoic acid; a-Hydroxybutyrate; a-Hydroxybutyric acid; alpha-Hydroxy-N-butyrate; alpha-Hydroxy-N-butyric acid; alpha-Hydroxybutanoate; alpha-Hydroxybutanoic acid; alpha-Hydroxybutyrate; alpha-Hydroxybutyric acid,HMDB00008,C05984,CHEBI:1148; CID:11266
12,103.0401784,103.0402,TRUE,0.657365263,34190.94207,-0.000115808,C4H8O3,-H(-),100,(R)-3-Hydroxybutyric acid,(R)-(-)-b-Hydroxybutyrate; (R)-(-)-b-Hydroxybutyric acid; (R)-(-)-beta-Hydroxybutyrate; (R)-(-)-beta-Hydroxybutyric acid; (R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyrate; 3-D-Hydroxybutyrate; 3-D-Hydroxybutyric acid; 3-delta-Hydroxybutyrate; 3-delta-Hydroxybutyric acid; BHIB; D-(-)-3-Hydroxybutyrate; D-3-Hydroxybutyrate; D-3-Hydroxybutyric acid; D-beta-Hydroxybutyrate; delta-(-)-3-Hydroxybutyrate; delta-3-Hydroxybutyrate; delta-3-Hydroxybutyric acid; delta-beta-Hydroxybutyrate,HMDB00011,C01089,CHEBI:17066; CID:92135
12,103.0401784,103.0402,TRUE,0.657365263,34190.94207,-0.000115808,C4H8O3,-H(-),100,(S)-3-Hydroxyisobutyric acid,(S)-3-Hydroxyisobutyric acid; 2-Methyl-L-(+)-Hydracrylate; 2-Methyl-L-(+)-Hydracrylic acid; 3-Hydroxy(iso)butyric acid; 3-Hydroxy-2-methyl-(S)-Propanoate; 3-Hydroxy-2-methyl-(S)-Propanoic acid; 3-Hydroxy-2-methylpropanoate; 3-Hydroxy-2-methylpropanoic acid; 3-Hydroxy-isobutyrate; 3-Hydroxyisobutyrate; 3-Hydroxyisobutyric acid,HMDB00023,C06001,CHEBI:37373; CID:440873
12,103.0401784,103.0402,TRUE,0.657365263,34190.94207,-0.000115808,C4H8O3,-H(-),100,3-Hydroxybutyric acid,3-Hydroxy-butanoate; 3-Hydroxy-butanoic acid; 3-Hydroxy-butyrate; 3-Hydroxy-butyric acid; 3-Hydroxybutanoate; 3-Hydroxybutanoic acid; 3-Hydroxybutyrate; 3-Hydroxybutyric acid; 3-OH-butyric acid; Biopol; DL-3-Hydroxybutyrate; DL-3-Hydroxybutyric acid; DL-b-Hydroxybutyric acid; DL-beta-Hydroxybutyric acid; b-Hydroxy-N-butyrate; b-Hydroxy-N-butyric acid; b-Hydroxybutanoate; b-Hydroxybutanoic acid; b-Hydroxybutyrate; b-Hydroxybutyric acid; beta-Hydroxy-N-butyrate; beta-Hydroxy-N-butyric acid; beta-Hydroxybutanoate; beta-Hydroxybutanoic acid; beta-Hydroxybuttersaeure; beta-Hydroxybutyrate; beta-Hydroxybutyric acid,HMDB00357,C01089,
13,104.0354289,104.0354,TRUE,0.713181794,31455.75488,-0.000117714,C3H7NO3,-H(-),100,L-Serine,(-)-Serine; (S)-2-Amino-3-hydroxypropanoate; (S)-2-Amino-3-hydroxypropanoic acid; (S)-2-amino-3-hydroxy-Propanoate; (S)-2-amino-3-hydroxy-Propanoic acid; (S)-Serine; (S)-a-Amino-b-hydroxypropionate; (S)-a-Amino-b-hydroxypropionic acid; (S)-alpha-Amino-beta-hydroxypropionate; (S)-alpha-Amino-beta-hydroxypropionic acid; (S)-b-Amino-3-hydroxypropionate; (S)-b-Amino-3-hydroxypropionic acid; (S)-beta-Amino-3-hydroxypropionate; (S)-beta-Amino-3-hydroxypropionic acid; 2-Amino-3-hydroxypropanoate; 2-Amino-3-hydroxypropanoic acid; 3-Hydroxy-L-Alanine; L-(-)-Serine; L-3-Hydroxy-2-aminopropionate; L-3-Hydroxy-2-aminopropionic acid; L-3-Hydroxy-alanine; L-Ser; Serine; b-Hydroxy-L-alanine; beta-Hydroxy-L-alanine; beta-Hydroxyalanine,HMDB00187,C00065,
13,104.0354289,104.0354,TRUE,0.713181794,31455.75488,-0.000117714,C3H7NO3,-H(-),100,D-Serine,(2R)-2-amino-3-hydroxypropanoate; (2R)-2-amino-3-hydroxypropanoic acid; (R)-2-amino-3-hydroxypropanoate; (R)-2-amino-3-hydroxypropanoic acid; D-Serin; DL-Serine; DSN; Serine D-form,HMDB03406,C00740,
14,105.0194717,105.0195,TRUE,0.443450898,6667.887912,-0.000144174,C3H6O4,-H(-),100,Glyceric acid,"(R)-glycerate; D-Glycerate; D-Glyceric acid; Glycerate; Glyceric acid; a,b-Hydroxypropionate; a,b-Hydroxypropionic acid",HMDB00139,C00258,
15,109.040647,109.0406,TRUE,0.60982433,19371.63631,8.46111E-05,C5H6N2O,-H(-),100,Imidazole-4-acetaldehyde,1H-Imidazole-4-acetaldehyde; 1H-Imidazole-5-acetaldehyde; 4-Imidazolylacetaldehyde; Imidazole acetaldehyde; Imidazole-4(or 5)-acetaldehyde,HMDB03905,C05130,
16,111.0197898,111.0198,TRUE,0.572403073,86626.15156,0.00020671,C4H4N2O2,-H(-),100,Uracil,"2,4-Dihydroxypyrimidine; 2,4-Dioxopyrimidine; 2,4-Pyrimidinediol; 2,4-Pyrimidinedione; Hybar X; Pirod; Pyrod; Uracil",HMDB00300,C00106,
17,112.0403912,112.0404,TRUE,0.02148776,10191.36992,5.89204E-06,C5H7NO2,-H(-),100,1-Pyrroline-2-carboxylic acid,"1-Pyrroline-2-carboxylate; 3,4-Dihydro-2H-pyrrole-5-carboxylate; 3,4-Dihydro-2H-pyrrole-5-carboxylic acid; D1-Pyrroline 2-carboxylate; D1-Pyrroline 2-carboxylic acid; Delta1-Pyrroline 2-carboxylate; Delta1-Pyrroline 2-carboxylic acid",HMDB06875,C03564,
18,113.0355619,113.0356,TRUE,0.531535268,34868.83669,8.37688E-05,C4H6N2O2,-H(-),100,Dihydrouracil,"5,6-Dihydro-2,4(1H,3H)-pyrimidinedione; 5,6-Dihydro-2,4-dihydroxypyrimidine; 5,6-Dihydrouracil; Dihydro-2,4(1H,3H)-pyrimidinedione; Dihydro-pyrimidine-2,4-dione; Dihydrouracil; Dihydrouracile; Hydrouracil",HMDB00076,C00429,
18,113.0355619,113.0356,TRUE,0.531535268,34868.83669,8.37688E-05,C4H6N2O2,-H(-),100,L-3-Cyanoalanine,,HMDB60245,C02512,
19,114.0560704,114.0561,TRUE,0.486807809,93876.88941,-2.40912E-05,C5H9NO2,-H(-),100,L-Proline,(-)-(S)-Proline; (-)-2-Pyrrolidinecarboxylate; (-)-2-Pyrrolidinecarboxylic acid; (-)-Proline; (S)-(-)-Proline; (S)-(-)-Pyrrolidine-2-carboxylate; (S)-(-)-Pyrrolidine-2-carboxylic acid; (S)-2-Carboxypyrrolidine; (S)-2-Pyrralidinecarboxylate; (S)-2-Pyrralidinecarboxylic acid; (S)-2-Pyrrolidinecarboxylate; (S)-2-Pyrrolidinecarboxylic acid; (S)-Proline; 2-Pyrrolidinecarboxylate; 2-Pyrrolidinecarboxylic acid; Proline,HMDB00162,C00148,
19,114.0560704,114.0561,TRUE,0.486807809,93876.88941,-2.40912E-05,C5H9NO2,-H(-),100,D-Proline,(2R)-pyrrolidine-2-carboxylate; (2R)-pyrrolidine-2-carboxylic acid; (R)-pyrrolidine-2-carboxylate; (R)-pyrrolidine-2-carboxylic acid; D-Prolin; D-Proline; R)-2-Carboxypyrrolidine; R-Proline,HMDB03411,C00763,
19,114.0560704,114.0561,TRUE,0.486807809,93876.88941,-2.40912E-05,C5H9NO2,-H(-),100,Acetamidopropanal,3-Acetamidopropanal; 3AAP,HMDB12880,C18170,
20,115.0036948,115.0037,TRUE,0.804360867,188667.4676,-1.64948E-05,C4H4O4,-H(-),100,Fumaric acid,"(2E)-But-2-enedioate; (2E)-But-2-enedioic acid; (E)-2-Butenedioate; (E)-2-Butenedioic acid; 2-(E)-Butenedioate; 2-(E)-Butenedioic acid; Allomaleate; Allomaleic acid; Boletate; Boletic acid; FC 33; Fumarate; Fumaric acid; Lichenate; Lichenic acid; Sodium fumarate; trans-1,2-Ethylenedicarboxylate; trans-1,2-Ethylenedicarboxylic acid; trans-2-Butenedioate; trans-2-Butenedioic acid; trans-Butenedioate; trans-Butenedioic acid",HMDB00134,C00122,
21,116.0352163,116.0352,TRUE,0.494232029,8603.948688,9.49155E-05,C4H7NO3,-H(-),100,L-2-Amino-3-oxobutanoic acid,(2S)-2-amino-3-oxobutanoate; (2S)-2-amino-3-oxobutanoic acid; (S)-2-Amino-3-oxobutanoate; (S)-2-Amino-3-oxobutanoic acid; 2-Amino-3-oxobutanoate; 2-Amino-3-oxobutanoic acid; L-2-Amino acetic acid; L-2-Amino-3-oxobutanoate; L-2-Amino-3-oxobutanoic acid; L-2-Amino-acetoacetate,HMDB06454,C03508,
22,116.0718056,116.0718,TRUE,0.500542253,187295.6859,-0.000110117,C5H11NO2,-H(-),100,Betaine,"(Carboxymethyl)trimethylammonium hydroxide inner salt; (Trimethylammonio)acetate; 1-Carboxy-N,N,N-trimethyl-Methanaminium; 1-Carboxy-N,N,N-trimethyl-Methanaminium hydroxide; 1-Carboxy-N,N,N-trimethylmethanaminium inner salt; Abromine; Aminocoat; Betafin; Betafin BCR; Betafin BP; Betaine; Cystadane; Ektasolve EE; FinnStim; Glycine betaine; Glycocoll betaine; Glycylbetaine; Greenstim; Loramine AMB 13; Loramine AMB-13; Lycine; N,N,N-Trimethylglycine; Oxyneurine; Rubrine C; Trimethylaminoacetate; Trimethylaminoacetic acid; Trimethylbetaine Glycine; Trimethylglycine; Trimethylglycocoll; a-Earleine; alpha-Earleine",HMDB00043,C00719,
22,116.0718056,116.0718,TRUE,0.500542253,187295.6859,-0.000110117,C5H11NO2,-H(-),100,L-Valine,(2S)-2-Amino-3-methylbutanoate; (2S)-2-Amino-3-methylbutanoic acid; (S)-2-Amino-3-methylbutanoate; (S)-2-Amino-3-methylbutanoic acid; (S)-2-Amino-3-methylbutyrate; (S)-2-Amino-3-methylbutyric acid; (S)-2-amino-3-methyl-Butanoate; (S)-2-amino-3-methyl-Butanoic acid; (S)-Valine; (S)-a-Amino-b-methylbutyrate; (S)-a-Amino-b-methylbutyric acid; (S)-alpha-Amino-beta-methylbutyrate; (S)-alpha-Amino-beta-methylbutyric acid; 2-Amino-3-methylbutanoate; 2-Amino-3-methylbutanoic acid; 2-Amino-3-methylbutyrate; 2-Amino-3-methylbutyric acid; L-(+)-a-Aminoisovalerate; L-(+)-a-Aminoisovaleric acid; L-(+)-alpha-Aminoisovalerate; L-(+)-alpha-Aminoisovaleric acid; L-Valine; L-a-Amino-b-methylbutyrate; L-a-Amino-b-methylbutyric acid; L-alpha-Amino-beta-methylbutyrate; L-alpha-Amino-beta-methylbutyric acid; Valine,HMDB00883,C00183,
23,117.0193139,117.0193,TRUE,0.851416976,248498.7082,1.35822E-05,C4H6O4,-H(-),100,Methylmalonic acid,"1,1-Ethanedicarboxylate; 1,1-Ethanedicarboxylic acid; 2-Methylmalonate; 2-Methylmalonic acid; Isosuccinate; Isosuccinic acid; Methyl-Malonate; Methyl-Malonic acid; Methyl-Propanedioate; Methyl-Propanedioic acid; Methylmalonate; Methylmalonic acid; Methylpropanedioate; Methylpropanedioic acid",HMDB00202,C02170,
23,117.0193139,117.0193,TRUE,0.851416976,248498.7082,1.35822E-05,C4H6O4,-H(-),100,Succinic acid,"1,2-Ethanedicarboxylate; 1,2-Ethanedicarboxylic acid; 1,4-Butanedioate; 1,4-Butanedioic acid; Amber acid; Asuccin; Dihydrofumarate; Dihydrofumaric acid; Katasuccin; Succinate; Wormwood acid",HMDB00254,C00042,
